text,label
"sabahdan beri sorun yaşıyordum. kaydınızı oluşturuyorum, çünkü sağ olun.",2
"dünden beri sorun sistemi kontrol ediyorum, çünkü çok memnun kaldım.",2
dünden beri internetim çok yavaş. bu yüzden iptal etmeyi düşünüyorum.,0
iki gündür fiber hat ışıklar yanmıyor. fakat iptal etmeyi düşünüyorum.,0
sabahdan beri modem çalışmıyor. çünkü artık sabrım kalmadı.,0
"iki gündür sorun yaşıyordum. sistemi kontrol ediyorum, fakat çok memnun kaldım.",2
"iki sorun yaşıyordum. adres bilgilerinizi teyit eder misiniz, fakat teşekkür ederim.",2
"İyi çalışmalar Ahmet Bey, altyapı biriminden arıyorum. kaydınızı oluşturuyorum.",1
"dunden beri sorun yasiyordum. islemi baslatiyorum, fakat tesekkur ederim.",2
bir saattir internetim ışıklar yanmıyor. çünkü gerçekten mağdur oldum.,0
"İyi çalışmalar Selin Bey, altyapı biriminden arıyorum. adres bilgilerinizi teyit eder misiniz.",1
"bir saattir sorun yaşıyordum. adres bilgilerinizi teyit eder misiniz, bu beklediğimden hızlı çözüldü.",2
"sabahdan beri sorun yaşıyordum. talebinizi üst birime iletiyorum, çünkü sağ olun.",2
iki gündür wifi sürekli kopuyor. çünkü artık sabrım kalmadı.,0
Şu an hattınızda aktif bir arıza görünmüyor.,1
"İyi calışmalar Selin Hanım, müşteri hizmetlerinden arıyorum. kaydınızı oluşturuyorum.",1
KVKK kapsamında onayınızı almam gerekiyor.,1
sabahdan beri bağlantım ışıklar yanmıyor. ancak kimse ilgilenmedi.,0
sabahdan beri internetim ışıklar yanmıyor. çünkü kimse ilgilenmedi.,0
"sabahdan beri sorun yaşıyordum. adres bilgilerinizi teyit eder misiniz, cunku beklediğimden hızlı cözuldu.",2
"iki gündür sorun yaşıyordum. talebinizi üst birime iletiyorum, çünkü çok teşekkürler.",2
"bir saattir sorun yaşıyordum. talebinizi üst birime iletiyorum, fakat çok teşekkürler.",2
"dünden beri sorun yaşıyordum. adres bilgilerinizi teyit eder misiniz, ama çok memnun kaldım.",2
"Merhabalar Ceren , fatura servisinden arıyorum. işlemi başlatıyorum.",1
"İyi çalışmalar Burcu , altyapı biriminden arıyorum. adres bilgilerinizi teyit eder misiniz.",1
Şu an hattınızda aktif bir arıza görünmüyor.,1
"dünden beri sorun yasıyordum. talebinizi üst birime iletiyorum, çünkü çok tesekkürler.",2
"bir saattir sorun yaşıyordum. sistemi kontrol ediyorum, fakat çok teşekkürler.",2
sabahdan beri fiber hat hata veriyor. ancak böyle hizmet olmaz.,0
"Merhaba Mehmet Bey, servisinden arıyorum. sistemi kontrol ediyorum.",1
"dünden beri sorun yaşıyordum. adres bilgilerinizi teyit eder misiniz, ancak beklediğimden hızlı çözüldü.",2
"Merhabalar Zeynep , müşteri hizmetlerinden arıyorum. kaydınızı oluşturuyorum.",1
iki gündür bağlantım ışıklar yanmıyor. ancak gerçekten oldum.,0
iki gündür modem çok yavaş. çünkü artık sabrım kalmadı.,0
"İyi çalişmalar Burcu efendim, fatura servisinden ariyorum. işlemi başlatiyorum.",1
sabahdan beri internetim çok yavaş. ama gerçekten mağdur oldum.,0
iki gündür sorun yaşıyordum. adres bilgilerinizi teyit eder ama elinize sağlık.,2
iki gündür wifi çalışmıyor. ancak artık sabrım kalmadı.,0
"dünden beri sorun yasıyordum. adres bilgilerinizi teyit eder misiniz, bu yüzden sag olun.",2
"dünden beri sorun yaşıyordum. talebinizi üst birime iletiyorum, ancak harika oldu.",2
"İyi çalışmalar Elif Hanım, teknik destekten arıyorum. kaydınızı oluşturuyorum.",1
Sistemde kayıtlı teyit edebilir miyim?,1
sabahdan beri ev interneti çok yavaş. ama böyle hizmet olmaz.,0
"İşleminiz onay sürecindedir, lütfen hattan ayrılmayın.",1
"İyi çalışmalar Can Bey, altyapı biriminden arıyorum. kaydınızı oluşturuyorum.",1
iki gundur wifi surekli kopuyor. ancak kimse ilgilenmedi.,0
"bir saattir sorun yaşıyordum. talebinizi üst birime iletiyorum, fakat sorunum çözüldü.",2
"saattir sorun yaşıyordum. adres bilgilerinizi teyit eder misiniz, ama sağ olun.",2
bir internetim çalışmıyor. ancak böyle hizmet olmaz.,0
Sistemde kayıtlı adresinizi teyit edebilir miyim?,1
iki gündür internetim çok yavaş. çünkü artık sabrım kalmadı.,0
dünden beri modem çok yavaş. çünkü böyle hizmet olmaz.,0
"İyi günler Selin , fatura servisinden arıyorum. talebinizi üst birime iletiyorum.",1
"Merhabalar Fatma Hanım, müşteri hizmetlerinden arıyorum. adres bilgilerinizi teyit eder misiniz.",1
Sistemde kayıtlı adresinizi teyit edebilir miyim?,1
"sabahdan beri sorun yaşıyordum. adres bilgilerinizi teyit eder misiniz, ancak elinize sağlık.",2
"iki gündür sorun yaşıyordum. talebinizi üst birime iletiyorum, ancak çok teşekkürler.",2
"İyi çalişmalar Selin Bey, müşteri hizmetlerinden ariyorum. kaydinizi oluşturuyorum.",1
"bir saattir sorun yaşıyordum. talebinizi üst birime iletiyorum, bu yüzden harika oldu.",2
Şu an hattınızda aktif bir arıza görünmüyor.,1
"İsleminiz onay surecindedir, lutfen hattan ayrılmayın.",1
sabahdan beri ev interneti sürekli kopuyor. çünkü artık sabrım kalmadı.,0
"İşleminiz onay sürecindedir, lütfen hattan ayrılmayın.",1
dünden beri fiber hat hata veriyor. bu yüzden artık sabrım kalmadı.,0
iki gündür internetim ışıklar yanmıyor. bu yüzden gerçekten mağdur oldum.,0
"dünden beri sorun yaşıyordum. adres bilgilerinizi teyit eder misiniz, fakat çok memnun kaldım.",2
Şu an hattınızda aktif bir arıza görünmüyor.,1
"sabahdan beri sorun yasiyordum. kaydinizi olusturuyorum, ama elinize saglik.",2
sabahdan beri internetim sürekli kopuyor. ama iptal etmeyi düşünüyorum.,0
Sistemde kayıtlı adresinizi teyit edebilir miyim?,1
sabahdan beri wifi çok yavaş. ama kimse ilgilenmedi.,0
"dünden beri sorun yasiyordum. talebinizi üst birime iletiyorum, ancak elinize sağlik.",2
sabahdan beri fiber hat hata veriyor. ancak gerçekten mağdur oldum.,0
"Merhaba Can , müşteri hizmetlerinden arıyorum. talebinizi üst birime iletiyorum.",1
"bir saattir sorun yaşıyordum. işlemi başlatıyorum, ama sağ olun.",2
"Merhabalar Ceren Hanım, teknik destekten arıyorum. talebinizi ust birime iletiyorum.",1
iki gündür modem yavaş. ancak gerçekten mağdur oldum.,0
iki gündür fiber hat çok yavaş. ancak iptal etmeyi düşünüyorum.,0
"iki gündür sorun yaşıyordum. kaydınızı oluşturuyorum, fakat çok memnun kaldım.",2
"bir saattir sorun yaşıyordum. işlemi başlatıyorum, ama teşekkür ederim.",2
"İyi akşamlar Emre Hanım, müşteri hizmetlerinden arıyorum. adres bilgilerinizi teyit eder misiniz.",1
"İyi günler Zeynep , altyapı biriminden arıyorum. adres bilgilerinizi teyit eder misiniz.",1
"İyi akşamlar Burcu efendim, teknik destekten arıyorum. sistemi kontrol ediyorum.",1
KVKK kapsamında onayınızı almam gerekiyor.,1
"iki gündür sorun yaşıyordum. işlemi başlatıyorum, ama sağ olun.",2
KVKK kapsamında onayınızı almam gerekiyor.,1
"dünden beri sorun yasiyordum. sistemi kontrol ediyorum, ama beklediğimden hizli çözüldü.",2
"Günaydın Selin Hanım, fatura servisinden arıyorum. sistemi kontrol ediyorum.",1
"iki gündür sorun yaşıyordum. kaydınızı oluşturuyorum, bu yüzden sağ olun.",2
