review,label
Satış sonrası destek tam bir fiyasko.,negatif
"Kurye konuşma tarzı çok kaba, hiç memnun kalmadım.",negatif
"İnternet bağlantım sürekli kopuyor, çok sıkıntı yaşıyorum.",negatif
Teslimat süresi belirtilen aralıkta olacak mı?,nötr
"Siparişimi teslim alacak kimse yoktu, geri gitti.",negatif
Gönderilen ürünün rengi yanlış.,negatif
Müşteri temsilcisi çok nazik ve çözüm odaklıydı.,pozitif
"Her kuruşuna değdi, çok memnunum.",pozitif
Siparişimi hediye paketi yapabilir misiniz?,nötr
Siparişim bir haftadır gündür kargoya verilmedi.,negatif
"Şikayetimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
Tüm övgüleri hak ediyorsunuz.,pozitif
"Tüm beklentilerimi karşıladı, harika.",pozitif
"Cihaz tam bir hayal kırıklığı, çok kötü.",negatif
"Bu ürüne bayıldım, kalitesine diyecek yok.",pozitif
"Uygulama sürekli sistem veriyor, kullanamıyorum.",negatif
"Kesinlikle tekrar alışveriş yaparım, hizmet kalitesi kaliteli.",pozitif
Sorunum hızlıca bir şekilde halledildi.,pozitif
Müşteri temsilcisi çözüm sürecinde çok sağlam davrandı.,pozitif
Firmanın web sitesi çok karmaşık ve kullanışsız.,negatif
İnanılmaz derecede kullanıcı dostu bir arayüze sahipsiniz.,pozitif
Kullanıcı yorumlarını okuyarak karar verdim.,nötr
"Cihaz tam bir hayal kırıklığı, çok kalitesiz.",negatif
Faturanın bir kopyasını istiyorum.,nötr
Ürünü incelemek için zaman ayırdım.,nötr
Sorunum hızlıca bir şekilde halledildi.,pozitif
"Uygulama sürekli ödeme veriyor, kullanamıyorum.",negatif
Şimdiye kadar denediklerimin en iyisiydi.,pozitif
Mükemmel bir alışveriş deneyimiydi.,pozitif
Beklediğimden çok daha hızlı sonuç aldım.,pozitif
"Kargom çok kısa süre içinde elime ulaştı, teşekkürler.",pozitif
Siparişim bir haftadır gündür kargoya verilmedi.,negatif
"İade talebimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
İptal edilen siparişimin nedenini açıklamadılar.,negatif
Kulaklık beklediğimden çok daha kaliteli çıktı.,pozitif
Siparişim 15 gündür kargoya verilmedi.,negatif
