review,label
"Para iadesi hakkında hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"Müşteri temsilcisi konuşma tarzı çok kötü, hiç memnun kalmadım.",negatif
Sorunum hızlıca bir şekilde halledildi.,pozitif
"Görevli konuşma tarzı çok yavaş, hiç memnun kalmadım.",negatif
Destek ekibi çözüm sürecinde çok başarılı davrandı.,pozitif
Sipariş beklediğimden çok daha sağlam çıktı.,pozitif
"Ürün tam bir hayal kırıklığı, çok yavaş.",negatif
Sorunum hızlıca bir şekilde halledildi.,pozitif
"Kurye konuşma tarzı çok kötü, hiç memnun kalmadım.",negatif
Sorunum profesyonel bir şekilde halledildi.,pozitif
Kurye çözüm sürecinde çok nazik davrandı.,pozitif
"İade talebimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
"Kargom çok kısa süre içinde elime ulaştı, teşekkürler.",pozitif
Görevli çözüm sürecinde çok hızlı davrandı.,pozitif
"Kargom çok kısa süre içinde elime ulaştı, teşekkürler.",pozitif
"Uygulama sürekli ödeme veriyor, kullanamıyorum.",negatif
"Kargom aynı gün içinde elime ulaştı, teşekkürler.",pozitif
Sorunum profesyonel bir şekilde halledildi.,pozitif
Sorunum anında bir şekilde halledildi.,pozitif
"Uygulama sürekli sistem veriyor, kullanamıyorum.",negatif
"Uygulama sürekli sistem veriyor, kullanamıyorum.",negatif
Siparişim 10 gündür kargoya verilmedi.,negatif
Sorunum anında bir şekilde halledildi.,pozitif
"Ürün tam bir hayal kırıklığı, çok eksik.",negatif
"Şikayetimden hala bir sonuç alamadım, mağduriyetim giderilmedi.",negatif
Siparişim 10 gündür kargoya verilmedi.,negatif
Sorunum hızlıca bir şekilde halledildi.,pozitif
"Destek ekibi konuşma tarzı çok defolu, hiç memnun kalmadım.",negatif
Ürün beklediğimden çok daha başarılı çıktı.,pozitif
Siparişim 10 gündür kargoya verilmedi.,negatif
Siparişim bir haftadır gündür kargoya verilmedi.,negatif
"Kargom 24 saat içinde elime ulaştı, teşekkürler.",pozitif
Müşteri temsilcisi çözüm sürecinde çok başarılı davrandı.,pozitif
Siparişim 10 gündür kargoya verilmedi.,negatif
