review,label
"Hizmet çok iyiydi, gerçekten memnun kaldım",pozitif
Ürün beklediğimden kötü çıktı,negatif
Fena değildi ama daha iyi olabilirdi,nötr
"Kargo çok hızlı geldi, teşekkür ederim",pozitif
Destek ekibi hiç yardımcı olmadı,negatif
"Yeni güncellemeler beklentimi aştı, müthiş.",pozitif
"Birkaç kez aradım ama kimseye ulaşamadım, hayal kırıklığı.",negatif
"Siparişimi bekliyorum, tahmini teslimat tarihi yarındı.",nötr
Müşteri temsilcisi çok nazik ve çözüm odaklıydı.,pozitif
"Ödeme sistemi sürekli hata verdi, çok sinir bozucu.",negatif
"Rengi sitedeki gibiydi, ancak biraz daha parlak bekliyordum.",nötr
"Kesinlikle tekrar alışveriş yapacağım, mükemmel bir deneyimdi.",pozitif
"İade sürecim hala sonuçlanmadı, çok yavaş işliyor.",negatif
"Fiyatı piyasa ortalamasında, özel bir indirim yoktu.",nötr
"Kalitesi harika, fiyatına göre çok üst düzey bir ürün.",pozitif
"Gelen paketin ambalajı yırtılmıştı, özensizdi.",negatif
Ürün elime ulaştı ve fatura da içindeydi.,nötr
Bugüne kadar kullandığım en iyi mobil uygulama.,pozitif
Aldığım hizmet tamamen paramın çöpe gitmesi oldu.,negatif
Bu modelin bir önceki versiyonunu da kullanmıştım.,nötr
"Çok memnun kaldım, herkese tavsiye ederim.",pozitif
Garanti kapsamı bu tür sorunları karşılamıyormuş.,negatif
Kampanya bitiş tarihini merak ettim.,nötr
"Sorunsuz bir kurulum oldu, her şey için teşekkürler.",pozitif
"Saatlerdir beklemede kalıyorum, bu nasıl bir hizmet?",negatif
Ürünün ağırlığı beklediğimden fazlaydı.,nötr
Hızlı ve etkili çözümleri için ekibe minnettarım.,pozitif
Bir daha asla bu firmadan alışveriş yapmam.,negatif
Web sitesinde gezinmek kolay ve anlaşılırdı.,nötr
"Bayıldım, tam aradığım özelliklere sahip.",pozitif
"Verilen sözlerin hiçbiri tutulmadı, büyük hayal kırıklığı.",negatif
Müşteri hizmetleri ile görüşme sağlayamadım.,nötr
"Bu kadar hızlı teslimat beklemiyordum, tebrikler!",pozitif
"Ürün görselden farklı geldi, iade etmek zorunda kaldım.",negatif
Siparişimi iptal etmeyi düşünüyorum.,nötr
Çalışanlarınızın ilgisi ve profesyonelliği takdire şayan.,pozitif
"Telefonum kapandı ve açılmıyor, teknik destek yok.",negatif
"Kullanma kılavuzunu inceledim, yeterli bilgi var.",nötr
Bu fiyat aralığında daha iyisini bulamazsınız.,pozitif
"Tüm parçaları eksik çıktı, kontrol edilmemiş.",negatif
Ürünün teslimatını dört gözle bekliyorum.,nötr
"Gerçekten çok işime yaradı, harika bir yatırım.",pozitif
Yaşadığım sorun çözülmediği gibi daha da büyüdü.,negatif
Kullanıcı arayüzü sade ve anlaşılır olmuş.,nötr
Hizmetiniz beş yıldızı hak ediyor.,pozitif
"Defolu ürün göndermişler, bu kabul edilemez.",negatif
Geri bildirimimin ne zaman değerlendirileceğini sormak istedim.,nötr
Mükemmel bir alışveriş deneyimiydi.,pozitif
Sürekli beni farklı departmanlara yönlendiriyorlar.,negatif
Hesabımın ayarlarını değiştirmeyi denedim.,nötr
Tüm beklentilerimi fazlasıyla karşıladı.,pozitif
Ürünün kalitesizliği beni şaşırttı.,negatif
Daha önce benzer bir hizmet almıştım.,nötr
Şimdiye kadar denediklerimin en iyisiydi.,pozitif
"İnternet bağlantım sürekli kopuyor, çok sıkıntı yaşıyorum.",negatif
Ürünün montajı biraz zor oldu.,nötr
"Tebrikler, işinizi çok iyi yapıyorsunuz.",pozitif
Firma sorumluluk almaktan kaçınıyor.,negatif
Bu konu hakkında daha fazla bilgiye ihtiyacım var.,nötr
Gönderim sürecindeki özeniniz için teşekkürler.,pozitif
