text,label
iki gündür wifi çalışmıyor. ama artık sabrım kalmadı.,0
"dünden beri sorun yaşıyordum. sistemi kontrol ediyorum, fakat sorunum çözüldü.",2
"iki gündür sorun yaşıyordum. kaydınızı oluşturuyorum, fakat teşekkür ederim.",2
sabahdan beri wifi ısıklar yanmıyor. ama gercekten magdur oldum.,0
"bir saattir sorun yaşıyordum. sistemi kontrol ediyorum, ancak teşekkür ederim.",2
"sabahdan beri sorun yaşiyordum. kaydinizi oluşturuyorum, cünkü gercekten yardimci oldunuz.",2
"bir saattir sorun yasiyordum. sistemi kontrol ediyorum, bu yüzden çok memnun kaldim.",2
sabahdan beri wifi çok yavaş. bu yüzden artık sabrım kalmadı.,0
dünden beri bağlantım ışıklar yanmıyor. bu yüzden böyle hizmet olmaz.,0
"İyi çalışmalar Mert Hanım, fatura servisinden arıyorum. kaydınızı oluşturuyorum.",1
iki gündür wifi çalışmıyor. bu yüzden gerçekten mağdur oldum.,0
"dünden beri sorun yaşıyordum. işlemi başlatıyorum, ama sorunum çözüldü.",2
iki gündür bağlantim çok yavas. ancak gerçekten mağdur oldum.,0
"İyi akşamlar Can Hanım, müşteri hizmetlerinden arıyorum. kaydınızı oluşturuyorum.",1
"sabahdan beri sorun yaşıyordum. kaydınızı oluşturuyorum, ama gerçekten yardımcı oldunuz.",2
Güvenliğiniz için anne kızlık soyadınızın ikinci harfini alabilir miyim?,1
"bir saattir sorun yaşıyordum. kaydınızı oluşturuyorum, bu yüzden çok memnun kaldım.",2
sabahdan beri fiber hat sürekli kopuyor. bu yüzden kimse ilgilenmedi.,0
iki gündür fiber hat ışıklar yanmıyor. ancak böyle hizmet olmaz.,0
sabahdan beri fiber hat çalışmıyor. ancak artık sabrım kalmadı.,0
"dünden beri sorun yaşıyordum. kaydınızı oluşturuyorum, ama teşekkür ederim.",2
"İyi günler Ayşe , teknik destekten arıyorum. işlemi başlatıyorum.",1
"Selamlar Ahmet Hanım, fatura servisinden arıyorum. sistemi kontrol ediyorum.",1
"iki gündür sorun yaşıyordum. sistemi kontrol ediyorum, bu yüzden teşekkür ederim.",2
"bir saattir sorun yaşıyordum. işlemi başlatıyorum, ancak gerçekten yardımcı oldunuz.",2
"iki gündür sorun yaşıyordum. sistemi kontrol ediyorum, çünkü gerçekten yardımcı oldunuz.",2
"İyi akşamlar Can Hanım, müşteri hizmetlerinden arıyorum. işlemi başlatıyorum.",1
"sabahdan beri sorun yaşıyordum. sistemi kontrol ediyorum, fakat gerçekten yardımcı oldunuz.",2
bir saattir wifi çalışmıyor. bu yüzden artık sabrım kalmadı.,0
"iki gündür sorun yaşıyordum. kaydınızı oluşturuyorum, ama teşekkür ederim.",2
"Günaydın Emre Hanım, müsteri hizmetlerinden arıyorum. islemi baslatıyorum.",1
Şu an hattınızda herhangi bir arıza kaydı görünmüyor.,1
"Selamlar Ceren , altyapı biriminden arıyorum. sistemi kontrol ediyorum.",1
"bir saattir sorun yaşıyordum. işlemi başlatıyorum, bu yüzden gerçekten yardımcı oldunuz.",2
sabahdan beri modem ışıklar yanmıyor. ancak artık sabrım kalmadı.,0
Şu an hattınızda herhangi bir arıza kaydı görünmüyor.,1
sabahdan beri fiber hat sürekli kopuyor. fakat böyle hizmet olmaz.,0
sabahdan beri modem hata veriyor. ama böyle hizmet olmaz.,0
"İyi akşamlar Ceren , fatura servisinden arıyorum. işlemi başlatıyorum.",1
KVKK kapsamında onayınızı almam gerekiyor.,1
bir saattir internetim ışıklar yanmıyor. fakat gerçekten mağdur oldum.,0
"bir saattir sorun yaşıyordum. sistemi kontrol ediyorum, ancak teşekkür ederim.",2
"bir saattir sorun yaşıyordum. kaydınızı oluşturuyorum, ama gerçekten yardımcı oldunuz.",2
sabahdan beri bağlantım ışıklar yanmıyor. bu yüzden böyle hizmet olmaz.,0
iki gündür modem hata veriyor. ama kimse ilgilenmedi.,0
iki gündür wifi hata veriyor. ama artık sabrım kalmadı.,0
"sabahdan beri sorun yaşıyordum. işlemi başlatıyorum, bu yüzden teşekkür ederim.",2
"dünden beri sorun yaşıyordum. kaydınızı oluşturuyorum, bu yüzden sorunum çözüldü.",2
bir saattir modem çalışmıyor. ama kimse ilgilenmedi.,0
"sabahdan beri sorun yaşiyordum. kaydinizi oluşturuyorum, bu yuzden gerçekten yardimci oldunuz.",2
"bir saattir sorun yaşıyordum. kaydınızı oluşturuyorum, çünkü sorunum çözüldü.",2
"iki gündür sorun yaşıyordum. sistemi kontrol ediyorum, ancak sorunum çözüldü.",2
"iki gündür sorun yaşıyordum. işlemi başlatıyorum, ama sorunum çözüldü.",2
sabahdan beri internetim çalışmıyor. fakat artık sabrım kalmadı.,0
"İşleminiz şu an onay bekliyor, lütfen hattan ayrılmayın.",1
bir saattir wifi çok yavaş. fakat gerçekten mağdur oldum.,0
dünden beri fiber hat hata veriyor. çünkü kimse ilgilenmedi.,0
iki gündür internetim ışıklar yanmıyor. ancak artık sabrım kalmadı.,0
Talebinizi üst birime acil koduyla iletiyorum.,1
KVKK kapsamında onayınızı almam gerekiyor.,1
"iki gündür sorun yaşıyordum. kaydınızı oluşturuyorum, çünkü çok memnun kaldım.",2
iki gündür wifi çalışmıyor. fakat böyle hizmet olmaz.,0
Şu an hattınızda herhangi bir arıza kaydı görünmüyor.,1
bir saattir wifi çalışmıyor. ancak artık sabrım kalmadı.,0
sabahdan beri ev interneti ışıklar yanmıyor. fakat böyle hizmet olmaz.,0
"İşleminiz şu an onay bekliyor, lütfen hattan ayrılmayın.",1
Güvenliğiniz için anne kızlık soyadınızın ikinci harfini alabilir miyim?,1
"İyi günler Mert , altyapı biriminden arıyorum. sistemi kontrol ediyorum.",1
"iki gündür sorun yaşıyordum. sistemi kontrol ediyorum, fakat çok memnun kaldım.",2
"dunden beri sorun yasıyordum. sistemi kontrol ediyorum, cunku gercekten yardımcı oldunuz.",2
"İyi günler Uğur efendim, altyapı biriminden arıyorum. kaydınızı oluşturuyorum.",1
bir saattir internetim sürekli kopuyor. ancak gerçekten mağdur oldum.,0
"Selamlar Uğur , teknik destekten arıyorum. sistemi kontrol ediyorum.",1
"bir saattir sorun yaşıyordum. işlemi başlatıyorum, bu yüzden sorunum çözüldü.",2
"sabahdan beri sorun yaşıyordum. işlemi başlatıyorum, fakat teşekkür ederim.",2
Mevcut kampanyanızı bir üst pakete taşıyabiliriz.,1
dünden beri modem sürekli kopuyor. ancak gerçekten mağdur oldum.,0
"sabahdan beri sorun yaşıyordum. kaydınızı oluşturuyorum, çünkü teşekkür ederim.",2
"iki gündür sorun yaşıyordum. sistemi kontrol ediyorum, ama sorunum çözüldü.",2
Sistemde tanımlı olan adresinizi teyit eder misiniz?,1
iki gündür fiber hat hata veriyor. çünkü artık sabrım kalmadı.,0
"sabahdan beri sorun yaşıyordum. kaydınızı oluşturuyorum, ancak teşekkür ederim.",2
"sabahdan beri sorun yasiyordum. sistemi kontrol ediyorum, ama çok memnun kaldim.",2
"bir saattir sorun yaşıyordum. işlemi başlatıyorum, çünkü gerçekten yardımcı oldunuz.",2
"İyi günler Ceren Hanım, altyapı biriminden arıyorum. sistemi kontrol ediyorum.",1
"dünden beri sorun yaşıyordum. sistemi kontrol ediyorum, fakat gerçekten yardımcı oldunuz.",2
dünden beri fiber hat çok yavaş. çünkü artık sabrım kalmadı.,0
sabahdan beri wifi hata veriyor. fakat artık sabrım kalmadı.,0
iki gündür wifi sürekli kopuyor. fakat gerçekten mağdur oldum.,0
"dünden beri sorun yaşıyordum. sistemi kontrol ediyorum, ama sorunum çözüldü.",2
"sabahdan beri sorun yaşıyordum. sistemi kontrol ediyorum, ancak çok memnun kaldım.",2
"İyi akşamlar Mehmet , fatura servisinden ariyorum. işlemi başlatiyorum.",1
Sistemde tanımlı olan adresinizi teyit eder misiniz?,1
sabahdan beri ev interneti hata veriyor. ancak artık sabrım kalmadı.,0
iki gündür internetim isiklar yanmiyor. bu yüzden gerçekten mağdur oldum.,0
sabahdan beri ev interneti çok yavaş. bu yüzden gerçekten mağdur oldum.,0
"İyi çalışmalar Elif Bey, altyapı biriminden arıyorum. kaydınızı oluşturuyorum.",1
Sistemde tanımlı olan adresinizi teyit eder misiniz?,1
"sabahdan beri sorun yaşıyordum. sistemi kontrol ediyorum, çünkü teşekkür ederim.",2
"Merhabalar Ahmet efendim, altyapı biriminden arıyorum. sistemi kontrol ediyorum.",1
